,avg_wpi,ev1,ev2,ev3,ev4,ev5,ev6,ev7,ev8,dgp1,dgp2,dgp3,dgp4,dgp5,dgp6,dgp7,dgp8
2023-03-15 17:00:00,600.765365566672,654.5453834682703,558.8218730501831,659.4949857890606,887.5529585247568,708.8273228555918,558.6305529251695,508.229763250798,695.5289110653102,0.197420,0.191787,0.197829,0.211133,0.200608,0.191777,0.188974,0.199827
2023-03-16 08:00:00,701.4212233859752,2472.3495763596147,1810.8629492637701,1781.63081934629,1972.5745439279126,1761.3362992759794,1486.651427976205,1145.0526212342083,1639.4030938758515,0.618448,0.587863,0.472533,0.459037,0.521376,0.477735,0.475205,0.491925
2023-03-16 09:00:00,924.418470701894,2391.7501893788576,1469.5816004369408,1933.233759848401,2621.021679501515,2052.165476579219,1295.5759515874088,1303.6206269841641,1979.0381450168788,0.553878,0.269027,0.312596,0.341769,0.614568,0.265883,0.274619,0.506136
2023-03-16 10:00:00,1373.493697955457,2280.0072741508484,1806.7925144135952,2302.0923804193735,3049.8358898200095,3024.896240770817,1652.8040024340153,1595.919594579842,2363.413857126143,0.309605,0.286825,0.339471,0.375181,0.347427,0.286578,0.297280,0.331417
2023-03-16 11:00:00,1379.7590789126532,2725.3555922224186,2100.447184184566,2457.3130009742454,3282.1503385459073,2972.663597030565,2001.1849063094705,1669.845858104527,2457.3177591916174,0.331702,0.302436,0.346674,0.376736,0.344951,0.302733,0.299200,0.322442
2023-03-16 12:00:00,1494.4459860560262,1173.7114772200584,1489.2294332385063,1721.539202451706,2034.5479909968562,1329.2951261997223,1252.3701675534248,1078.4996108524501,1206.0681370608509,0.252674,0.278755,0.295140,0.319465,0.272619,0.259012,0.252690,0.296546
2023-03-16 13:00:00,2558.7209166054295,2636.4028878211975,2050.8612426519394,2246.0131343603134,3058.8220073402044,3026.2852187156677,2171.530342362821,2008.709256209433,2474.008479271084,0.323849,0.295727,0.332028,0.367176,0.346960,0.309017,0.401103,0.326606
2023-03-16 14:00:00,2504.705680109128,3034.2840260267258,2100.8346555307508,2296.733596622944,3165.430884822097,3454.0073419213295,2196.0424135625362,1924.0964841283858,2583.033321492374,0.345413,0.299435,0.335425,0.373052,0.370042,0.311083,0.395885,0.332931
2023-03-16 15:00:00,1655.0259568497918,1853.622676461935,1472.337898105383,1655.829119950533,2265.023625565984,2017.086936712265,1497.0677648186684,1311.7820878475904,1827.6172805018723,0.313915,0.264079,0.283948,0.320434,0.309006,0.262566,0.262023,0.276329
2023-03-16 16:00:00,817.047119789318,845.6543249562383,707.3077550791204,822.7844325751066,1133.8162252439506,929.3848105669022,710.7361687552184,640.4658784894273,885.0856010941789,0.208640,0.200519,0.207680,0.225700,0.213555,0.200750,0.197207,0.211355
2023-03-16 17:00:00,448.0148960494691,462.55159935355186,392.19841794110835,462.4524906128645,635.2448786116438,506.9401198029518,392.8399849627167,357.8547609243542,492.81044522020966,0.185999,0.181214,0.185992,0.196286,0.188704,0.181264,0.178194,0.187853
2023-03-17 08:00:00,445.2450897336381,428.1936982162297,356.8304431978613,410.0848138332367,573.0557872313511,481.78016416728497,363.0952679300681,324.27604987379164,444.18425399437547,0.183790,0.178090,0.182542,0.192627,0.187183,0.178711,0.174073,0.184837
2023-03-17 09:00:00,882.3466249644049,1812.784302830696,1333.106281850487,1697.3278951020911,2291.4389962712303,1608.8176323212683,1126.8757083117962,1094.427392585203,1692.7234449833632,0.459698,0.261030,0.291549,0.317107,0.505572,0.250038,0.251126,0.404139
2023-03-17 10:00:00,1448.5079456574965,2290.147262722254,1777.4370541870594,2145.6304640471935,2907.499859827105,2374.25695759058,1539.6056464016438,1432.1084971455857,2204.609844272025,0.306073,0.283495,0.328318,0.358310,0.309132,0.278916,0.284957,0.312952
2023-03-17 11:00:00,1416.897244764012,2699.7292071278207,2059.161852051504,2414.95846875431,3273.003580589313,2855.6137537714094,1926.4221743107773,1607.9230485651642,2435.868008783087,0.331036,0.308634,0.346291,0.378215,0.339417,0.300376,0.298623,0.322783
2023-03-17 12:00:00,5544.7835387162595,1566.724635541439,1741.4227882772684,1787.4884469509125,2104.0737354321172,2834.1471323668957,2432.6709322035313,5023.512704823166,1438.3395582400262,0.282957,0.310434,0.309495,0.330323,0.359851,0.372861,0.478534,0.317573
2023-03-17 13:00:00,3881.067100919102,880.1689681112766,1178.4994333302602,1249.7767323702574,1568.8088000859716,1800.9031797274947,1620.328626088798,7936.42424562294,1363.327253902331,0.271908,0.264979,0.264857,0.290575,0.315686,0.295832,0.925644,0.308028
2023-03-17 14:00:00,2489.671709126197,2264.697965681553,2385.2512788027525,2551.8314011096954,2605.0251673986204,2948.0247782170773,2747.916812568903,4130.002066932619,2409.8612275924534,0.344954,0.340340,0.363735,0.367781,0.383116,0.352810,0.739684,0.348644
2023-03-17 15:00:00,1859.5644175288783,1435.4293859004974,2120.929817132652,1992.691092967987,2025.9047450260841,2026.6498702466488,1937.895045220852,3504.905345994979,1418.3289725147188,0.462609,0.297761,0.323163,0.328451,0.313230,0.307979,0.385488,0.562434
2023-03-17 16:00:00,1257.575485176314,1419.3710833191872,1178.75530975312,1354.6228742301464,1819.2263611416565,1536.1262131929398,1182.6978400349617,1050.6256050225347,1449.986316954717,0.245182,0.236201,0.245570,0.274448,0.254946,0.238920,0.226423,0.247841
2023-03-17 17:00:00,634.1450514035614,690.3138617947698,589.2362262792885,695.739129781723,937.5059332210512,746.9905747622252,588.5064917169511,536.1172631038353,734.5165714193135,0.199521,0.193581,0.200005,0.214074,0.202848,0.193552,0.190722,0.202224
2023-03-18 08:00:00,724.754918464948,2600.897400743328,1909.5873779538088,1846.878819059115,2027.6457081543049,1830.625014750287,1570.908278760733,1193.8056056052446,1692.9819359397516,0.617940,0.595658,0.507501,0.471208,0.512071,0.473088,0.487224,0.478323
2023-03-18 09:00:00,965.2099547798703,2474.8473051041365,1517.0698178894818,2019.617575455457,2773.031287478283,2119.828956294805,1329.9747003391385,1364.0122202765197,2044.9588679932058,0.588044,0.272936,0.318605,0.354569,0.605837,0.270008,0.280210,0.514445
2023-03-18 10:00:00,1401.202896099751,2317.622633755207,1832.6309387385845,2335.817685082555,3108.661121888086,3061.973569750786,1674.9239780902863,1634.9758355701342,2435.2385923811235,0.315354,0.301239,0.345137,0.386121,0.351229,0.290889,0.302820,0.338033
2023-03-18 11:00:00,1178.865239685534,2494.1014969507232,2012.446125981398,2488.047429451719,3228.5532743656076,2688.559913624078,1962.8369547375478,1751.7967177815735,2416.102149645798,0.326113,0.310338,0.354123,0.391848,0.338008,0.304370,0.309624,0.334436
2023-03-18 12:00:00,6015.663614135146,1600.4002209305763,1748.9931848049164,1892.1078398227692,2276.2011925122933,2795.179648041725,2399.9076100587845,5670.101561592892,1544.7952018417418,0.287462,0.319144,0.320315,0.345211,0.359488,0.373870,0.517577,0.329154
2023-03-18 13:00:00,3961.315278692736,878.2193974256516,1173.5278552174568,1251.6129299774766,1571.9146805421333,1787.4215137176216,1603.5866348445415,8185.284288364463,1385.9531686678529,0.285292,0.264926,0.265203,0.286772,0.315076,0.295348,0.929369,0.295251
2023-03-18 14:00:00,2816.009049659357,3403.7493349313736,2643.411932051182,2835.8104813098907,2997.407783998671,4277.937066495419,3035.756150022149,4362.045467227697,2831.713183576241,0.392379,0.354141,0.379157,0.384871,0.445207,0.368295,0.719222,0.366197
2023-03-18 15:00:00,1839.9209188560578,1394.7152271270752,2004.7181169316173,1973.407198190689,2043.2078775079572,2079.5399628542364,1912.8177950680256,3273.9890751577914,1385.2757256701589,0.476920,0.292802,0.323593,0.329803,0.315382,0.307756,0.374184,0.581716
2023-03-18 16:00:00,1473.5635192852558,1764.480830579996,1470.087942097336,1677.2009889185429,2188.9692177694815,1882.1537015736103,1448.668837606907,1286.3854295369238,1772.3034183979034,0.279844,0.259308,0.278083,0.308150,0.304888,0.256414,0.253753,0.290655
2023-03-18 17:00:00,689.9940595773276,760.2708477899432,650.0971549283713,767.9871889948845,1030.36710639167,820.0178322792053,648.6295720543712,591.189587906003,809.1343361278996,0.203628,0.197159,0.204272,0.219530,0.207135,0.197091,0.194029,0.206614
2023-03-19 08:00:00,790.5700601013135,2737.0628128838725,1989.167945047142,1953.5970702571794,2166.561874979059,1815.319764373824,1682.5515470898245,1222.0340551175177,1808.1961783547886,0.623050,0.604369,0.497315,0.466653,0.498807,0.314990,0.494949,0.479647
2023-03-19 09:00:00,987.5702254598455,2516.9795299321413,1549.4839908909053,2059.798092261888,2831.9536148272455,2167.4091410264373,1357.6691917665303,1391.4761130139232,2085.0096306838095,0.597600,0.274797,0.322517,0.369954,0.590509,0.272432,0.283715,0.512562
2023-03-19 10:00:00,1436.729570147443,2370.7446969747543,1871.3024740815163,2381.516987770796,3177.686587373726,3124.2540271878242,1706.406990468502,1668.6226269560866,2490.8575043715537,0.318217,0.302912,0.348468,0.389740,0.354926,0.293078,0.305417,0.341047
2023-03-19 11:00:00,1223.2876405649602,2575.4832606175914,2117.7282970687374,2718.907240031287,3523.807672796771,2777.834942948073,2071.1337738335133,1916.2340200338513,2610.458624355495,0.330094,0.314470,0.364854,0.405413,0.343099,0.328637,0.331996,0.343293
2023-03-19 12:00:00,1289.2844649049555,1301.7170940041542,1482.6811336576939,1845.259600162506,2265.20191273652,1680.8349260985851,1492.9109125435352,1257.9742483664304,1425.6832978259772,0.270507,0.294665,0.311315,0.345175,0.298646,0.278864,0.322241,0.324923
2023-03-19 13:00:00,3863.9642333479615,880.708673208952,1180.9589852541685,1259.0879505425692,1580.454051837849,1790.275387018919,1603.5212666243315,8044.2238923776895,1446.434000723064,0.284860,0.264983,0.265428,0.291318,0.314999,0.294727,0.931518,0.296018
2023-03-19 14:00:00,2832.530977480249,3476.65991795063,2679.7854658067226,2873.2213262319565,3028.8786473934597,4286.23660749197,3067.2704219669104,3757.1070126332343,2927.834048282355,0.395622,0.355823,0.380969,0.386741,0.445573,0.369933,0.417986,0.370517
2023-03-19 15:00:00,1832.8080503255326,1401.6058658957481,2016.5136349797249,1968.7568078041077,2057.668303935323,2107.091828484088,1895.9013894796371,3596.2105398476124,1398.0483430698514,0.475096,0.292782,0.321879,0.329257,0.315717,0.305939,0.389967,0.583579
2023-03-19 16:00:00,1827.074898067243,2389.8077233582735,2002.1557938307524,2259.0282329022884,2822.555408875807,2498.9330689013004,1922.495994295925,1706.6625738050789,2345.4967535492033,0.342784,0.286227,0.320361,0.355599,0.383747,0.289353,0.287873,0.371162
2023-03-19 17:00:00,645.3774838892322,697.1941246390343,594.4480510223657,702.1258519589901,949.686102520267,755.0741173028946,593.3166498243809,541.1066390294582,742.9329313645139,0.199925,0.193887,0.200389,0.214791,0.203323,0.193835,0.191033,0.202723
2023-03-20 08:00:00,748.183100449629,2708.3880224858876,1944.540894894395,1880.6558649416547,2058.9061220209114,1754.3014177461155,1652.628740989603,1174.4136174116284,1737.5756143257022,0.618278,0.581936,0.509479,0.455149,0.469772,0.482545,0.500214,0.435105
2023-03-20 09:00:00,798.484735521425,1558.2629266381264,1237.145334802568,1587.7320207199082,2091.687232658267,1411.0063822288066,1049.1080709844828,1012.7415192453191,1537.9163748752326,0.363494,0.252916,0.281411,0.307243,0.346636,0.242272,0.243102,0.307865
2023-03-20 10:00:00,1177.7950567726948,1139.370673686266,940.1323126591742,1065.4268144667149,1486.0802403361013,1290.6338730156422,962.2748882584274,850.4091339390725,1163.323033630848,0.227723,0.215007,0.221986,0.246575,0.238209,0.217438,0.209706,0.227869
2023-03-20 11:00:00,1943.220893216956,1871.479643970728,1514.7661081030965,1674.8639285564423,2321.8433042966935,2165.2141056656837,1597.242486692965,1372.5097670331597,1842.773171853274,0.276454,0.265711,0.283032,0.320015,0.295374,0.267018,0.258968,0.274444
2023-03-20 12:00:00,3135.607356478146,3258.8624194562435,2489.825596511364,2517.0742322802544,3200.8546217398252,4350.6798830628395,3170.729369238019,2427.958381935954,2624.938392493874,0.362670,0.344313,0.351292,0.376908,0.426433,0.367959,0.330398,0.337703
2023-03-20 13:00:00,2769.9256649154645,898.7821301221848,1362.3059820225462,1335.5408500656486,1615.096662218857,1957.525750006549,1777.431852221489,2771.5487127322704,1027.561763677746,0.276521,0.267594,0.266473,0.283625,0.319038,0.297903,0.571864,0.249507
2023-03-20 14:00:00,2679.9181720369206,3004.3228056430817,2902.4732200801373,3031.931004047394,3146.594498111226,3716.0775811076164,3254.102293238044,2874.4951920881867,2615.5954960919917,0.352969,0.350150,0.387048,0.388488,0.394385,0.378007,0.364049,0.353534
2023-03-20 15:00:00,1724.1585669334406,1249.1166694164276,1794.7953555360436,1846.4599428772926,1872.73344547546,1820.0613965690136,1776.6150157600641,1805.9723388329148,1246.1567921638489,0.261859,0.280791,0.313506,0.319308,0.301141,0.298254,0.307768,0.292738
2023-03-20 16:00:00,1437.9639882030422,1679.4031728208065,1396.045638255775,1597.0088036954403,2113.312486668321,1800.6232967972755,1383.917737081647,1231.343151209876,1702.6245055943727,0.270050,0.254144,0.271859,0.302373,0.287748,0.251091,0.249047,0.279919
2023-03-20 17:00:00,1209.8678627822028,1616.4063620120287,1470.3321249000728,1730.113501548767,2072.5980672153964,1640.7470822632313,1478.326728027314,1377.6452331002802,1664.4223895072937,0.363867,0.449179,0.432177,0.374517,0.345064,0.426797,0.420081,0.362009
